tweets,date,city,user_location,id,link
¡Mikel Landa deberá ser operado tras su accidente en el Giro de Italia!  https://t.co/ekMmBdYX7J,2021-05-13 23:58:34,Bogotá,Bogotá,1392992698085388291,https://twitter.com/i/web/status/1392992698085388291
¡Golpea el Ineos! 🇨🇴🔥🚴‍♂️Egan Bernal otra vez comandó el ataque en los favoritos y ya se metió al podio de la general en el Giro de Italia ➡️➡️ https://t.co/6yQSA9HD7k https://t.co/xuZF6erPQ5,2021-05-13 23:00:00,Bogotá,Bogotá. Colombia,1392977960177569793,https://twitter.com/i/web/status/1392977960177569793
"#DeportesRCN |VIDEO| 🇨🇴🚴‍♂️

Egan Bernal habló de la sexta etapa, su estrategia en el Giro de Italia 2021 y la idea del ataque

#NuestroCiclismo   https://t.co/n5CPSVWgUp",2021-05-13 22:45:26,Bogotá,"Bogotá, Colombia",1392974292242112518,https://twitter.com/i/web/status/1392974292242112518
"Felicitaciones para el Ciclista colombiano @Eganbernal quien fue segundo hoy en la 6 etapa del Giro de Italia y logró meterse en el pódium.

En el último kilómetro logró meterse dentro de los primeros para quedarse con un lugar especial en la tabla de posiciones. https://t.co/n8PTrNkyzB",2021-05-13 22:19:56,Bogotá,"Bogotá, D.C., Colombia",1392967876970229767,https://twitter.com/i/web/status/1392967876970229767
"El ciclista colombiano Egan Bernal, se lució en la etapa de montaña que se realizó el día de hoy, demostrando que tiene toda la capacidad para luchar por el título del Giro de Italia 2021.

https://t.co/G297IC28o5",2021-05-13 21:53:27,Bogotá,"Bogotá, D.C., Colombia",1392961213424979970,https://twitter.com/i/web/status/1392961213424979970
"#DeportesRCN #NuestroCiclismo 

Giro de Italia 2021: drástica medida se tomó con el chofer que atropelló a Pieter Serry
 https://t.co/x1GJ6smJBo",2021-05-13 21:43:07,Bogotá,"Bogotá, Colombia",1392958610582474757,https://twitter.com/i/web/status/1392958610582474757
"@NoticiasCaracol A mí lo que me parece curioso es que dicen que el fútbol es un distractor por lo que no es adecuado que en este momento se desarrollen este tipo de eventos, pero, a los estadios no está asistiendo nadie y por televisión se puede ver el giro de Italia, ligas del mundo, etc.,",2021-05-13 21:20:08,Bogotá,"Bogotá, D.C., Colombia",1392952826884677634,https://twitter.com/i/web/status/1392952826884677634
"#GirodeItalia  Este viernes, 14 de mayo, se disputarán los 181 kilómetros entre Notaresco y Termoli.  https://t.co/wSPw5Dtte2",2021-05-13 21:15:14,Bogotá,Bogotá,1392951596141658114,https://twitter.com/i/web/status/1392951596141658114
Giro de Italia 2021: Vídeo resumen de la etapa 6 https://t.co/p1cXQ4yhN8,2021-05-13 20:49:37,Bogotá,Bogotá Colombia,1392945146744819714,https://twitter.com/i/web/status/1392945146744819714
"Egan Bernal no tenía pensado atacar, contó por qué lo hizo... @ELTIEMPO https://t.co/TEHbpebVHW",2021-05-13 20:40:23,Bogotá,Bogotá,1392942824182722560,https://twitter.com/i/web/status/1392942824182722560
"@germanarango1 jajajajja del giro de italia., un abrazo",2021-05-13 20:33:30,Bogotá,"Bogotá, Colombia",1392941089816989703,https://twitter.com/i/web/status/1392941089816989703
"Hoy Bernal le sacó 35 segundos a Simon Yates, Vlasov y Carthy, los otros tres grandes favoritos en pie. https://t.co/7KVz452FfB

#GiroxElEspectador",2021-05-13 20:25:02,Bogotá,"Bogotá, Colombia",1392938960503119874,https://twitter.com/i/web/status/1392938960503119874
😱🚴‍♂️ ¡Insólita situación! Carro del Bike Exchange atropelló al ciclista belga Pieter Serry en la sexta etapa del Giro de Italia ➡️➡️ https://t.co/1GSqJONea8 https://t.co/HaXFSNnqJK,2021-05-13 20:20:00,Bogotá,Bogotá. Colombia,1392937693466697728,https://twitter.com/i/web/status/1392937693466697728
"#Giro | 🇮🇹 Reacciones de Egan Bernal luego de su gran actuación este jueves en la sexta etapa del Giro de Italia. ""Le dije a Castroviejo, si tiramos ahora podemos hacer algún daño"". 🚴‍♂️🇨🇴

#VamosEscarabajos #ElPortalDelCiclismo

https://t.co/hsZlnhDlcM",2021-05-13 20:12:15,Bogotá,"Bogota, Colombia",1392935742842757122,https://twitter.com/i/web/status/1392935742842757122
"#Giro | 🚴‍♂️🇨🇴💗🇮🇹 DECLARACIONES Egan Bernal @Eganbernal tras su ESPECTACULAR presentación en la 6a etapa del Giro de Italia 2021 🚴‍♂️🇨🇴💗🇮🇹🏆👏💪

📺 @INEOSGrenadiers 

#VamosEscarabajos #VamosEgan #Ciclismo #Colombia https://t.co/IkJLzZ47fW",2021-05-13 20:06:23,Bogotá,"Bogota, Colombia",1392934267584401408,https://twitter.com/i/web/status/1392934267584401408
"#DeportesRCN |VIDEO| 🇨🇴🚴‍♂️

Así fue el ataque de Egan Bernal en la etapa 6 del Giro de Italia 2021

El colombiano se despegó del grupo a falta de pocos kilómetros para la meta y junto a Remco Evenepoel y Dan Martin llegaron a meta, sacando segundos ... https://t.co/RLiOpOF06A",2021-05-13 20:00:47,Bogotá,"Bogotá, Colombia",1392932859346833411,https://twitter.com/i/web/status/1392932859346833411
"¡Giro en 120”!☕️🇮🇹🇨🇴

Giro de Italia, #Giro104 resumen del día en dos minutos, etapa 6. #GiroDiItalia2021 
Hoy:
¡”La revancha”!👇🏻 https://t.co/7s9Oypmbj5",2021-05-13 19:29:46,Bogotá,"Bogotá D.C, Colombia ",1392925051272536065,https://twitter.com/i/web/status/1392925051272536065
Así será la etapa 7 del Giro de Italia: los velocistas tendrán una nueva oportunidad https://t.co/zoRzE6Z8Uc,2021-05-13 19:17:10,Bogotá,Bogotá,1392921880219238415,https://twitter.com/i/web/status/1392921880219238415
🔴 ¡Gran etapa de Egan Bernal! 🚴🏽 El colombiano ya es tercero en el Giro de Italia y aquí analizamos cómo va la competencia → https://t.co/3krXiZKyx8 #LiveET https://t.co/mOj78BrsIP,2021-05-13 19:02:20,Bogotá,"Bogotá, Colombia",1392918148999962625,https://twitter.com/i/web/status/1392918148999962625
"@WinSportsTV @guzmancj50 @hpalau 
Giro de Italia 🏆🇮🇹🚴‍♀️
Entre 1997  y 2007, 📆🚴‍♀️ esta competición fue ganada   exclusivamente  por escarabajos italianos .  
Aquí repasamos estos ganadores en dicho lapso de tiempo:   
https://t.co/TGx60OsM0g https://t.co/HEmxCT7IkO",2021-05-13 18:58:57,Bogotá,"Bogotá, Colombia",1392917299066253313,https://twitter.com/i/web/status/1392917299066253313
Egan Bernal fue segundo en la 6ª etapa del Giro de Italia y se ratifica como favorito al título @Eganbernal @INEOSGrenadiers #ciclismo  https://t.co/XaM9Vr0lZA,2021-05-13 18:38:27,Bogotá,Bogotá - Colombia,1392912138398797828,https://twitter.com/i/web/status/1392912138398797828
.@Eganbernal fue segundo en la 6ª etapa del @giroditalia y se ratifica como favorito al título @fedeciclismocol https://t.co/0MFwEDQhNL,2021-05-13 18:38:08,Bogotá,Bogotá,1392912057016664077,https://twitter.com/i/web/status/1392912057016664077
"¿Cuál es el momento ideal para que Egan sea líder del Giro? Hoy, a las 2 pm, análisis con Pello Ruiz Cabestani, exciclista español y Miguel Rubiano, ganador de etapa en 2012. @ELTIEMPO  @HugoCaroJ  https://t.co/OmPBJJeOLm",2021-05-13 18:28:57,Bogotá,Bogotá,1392909746286600192,https://twitter.com/i/web/status/1392909746286600192
Attila Valter es nuevo líder del Giro de Italia: “Sabía que podía hacer algo importante” https://t.co/IQD10kC19E,2021-05-13 18:26:03,Bogotá,Bogotá,1392909017148764163,https://twitter.com/i/web/status/1392909017148764163
"#Deportes | Buena jornada para los ciclistas cundinamarqueses en el Giro de Italia, el Zipaquireño @Eganbernal  arribo segundo a la meta en la etapa sexta. Por su parte el nacido en Soacha Daniel Felipe Martínez fue séptimo.

Más información en: ⬇⬇⬇

 https://t.co/2Kflj0iCK5",2021-05-13 18:20:50,Bogotá,"Cundinamarca, Colombia",1392907706470645764,https://twitter.com/i/web/status/1392907706470645764
Los cinco datos que dejó victoria de Gino Mader en la etapa 6 del Giro de Italia https://t.co/t4dYIuX8ov,2021-05-13 18:09:04,Bogotá,Bogotá,1392904744134393860,https://twitter.com/i/web/status/1392904744134393860
"#Giro | 🇮🇹 Attila Valter se ilusiona con la disputa de las posiciones de privilegio del Giro de Italia, luego de asumir el liderato este jueves en la sexta fracción. ""Me siento más confiado"". 🚴‍♂️🇭🇺

#VamosEscarabajos #ElPortalDelCiclismo

https://t.co/Ogfw4Zd8n1",2021-05-13 18:04:57,Bogotá,"Bogota, Colombia",1392903708732764169,https://twitter.com/i/web/status/1392903708732764169
"En el día  de  hoy  se corrió la sexta etapa del Giro de Italia 🇮🇹🚴‍♀️ entre Grotte  di Frasassi  y  Ascoli  Piceno 🇮🇹  con una distancia  de   160  km.   
https://t.co/36ZuzhqTXY https://t.co/ghejMs84sI",2021-05-13 17:58:06,Bogotá,"Bogotá, Colombia",1392901983472955395,https://twitter.com/i/web/status/1392901983472955395
Resumen del leñero de hoy Giro de Italia https://t.co/wv0Dcpgug6,2021-05-13 17:57:17,Bogotá,Colombia,1392901777792634887,https://twitter.com/i/web/status/1392901777792634887
Video: Ataque de Egan Bernal en cierre de etapa seis del Giro de Italia https://t.co/3sMfb5WLfi,2021-05-13 17:56:09,Bogotá,"Bogotá, Colombia",1392901492546416643,https://twitter.com/i/web/status/1392901492546416643
"¡Análisis! ¿Cuál es el momento ideal para que Egan sea líder del Giro? Hoy, con el español Pello Ruiz Cabestany y el colombiano Miguel Rubiano, ganador de etapa en 2012. @ELTIEMPO https://t.co/OmPBJJeOLm Los esperamos. Alguna pregunta? 2 pm,",2021-05-13 17:52:43,Bogotá,Bogotá,1392900628259745792,https://twitter.com/i/web/status/1392900628259745792
"Boletín Informativo en #EmisiónCentralUR en deportes  (3/3)

5. La crisis social en Colombia vuelve a sacudir la Copa Libertadores @Libertadores ⚽️
 6. Giro de Italia: Egan @Eganbernal ya es tercero en la general 🚴‍♀️🏆🏅 https://t.co/U8HaO7RqjW",2021-05-13 17:49:24,Bogotá,Bogotá - Colombia,1392899796508237826,https://twitter.com/i/web/status/1392899796508237826
"⭕ #ENVIVO 
#NoticiasCapital | El soachuno @danifmartinez96 y @Eganbernal  fueron protagonistas de la etapa 6 del Giro de Italia. 

Ahora el de Zipaquirá es tercero en la general y sueña con la maglia rosa. 

↓

https://t.co/cOtjOzkmSl https://t.co/I1AYUlOgyH",2021-05-13 17:48:07,Bogotá,"Bogotá, Colombia",1392899473182011401,https://twitter.com/i/web/status/1392899473182011401
Daniel Martínez limpió el camino de Egan Bernal con poderoso ataque en etapa 6 del Giro de Italia https://t.co/BjfEbyOvVA,2021-05-13 17:42:06,Bogotá,Bogotá,1392897958467837957,https://twitter.com/i/web/status/1392897958467837957
Egan Bernal entró al top 3 de la general en el Giro de Italia – TDI Colombia https://t.co/jEx2U1RojI,2021-05-13 17:40:21,Bogotá,villavicencio,1392897517554225154,https://twitter.com/i/web/status/1392897517554225154
"Egan ATACA Remco SE DEFIENDE! / Etapa 6 Giro de Italia 2021 https://t.co/U9Z65SXiVz a través de @YouTube 
#Giro104 #Giro #Giro2021",2021-05-13 17:40:13,Bogotá,"Bogotá, D.C., Colombia",1392897483165077516,https://twitter.com/i/web/status/1392897483165077516
"#ColombiaAlAire | Egan Bernal ya es tercero en el Giro de Italia, el corredor de Zipaquirá fue segundo en la sexta etapa y recortó tiempo en la clasificación general.
📻➡  https://t.co/LPPvT06WLI
https://t.co/m2Bzc1wpN1",2021-05-13 17:38:26,Bogotá,"Bogotá, Colombia",1392897032910688259,https://twitter.com/i/web/status/1392897032910688259
"En video quedó registrado el momento en el que uno de los auto que acompañan a los ciclistas, atropella a uno de ellos. Esto durante el Giro de Italia 👉 https://t.co/508fFfBhaR https://t.co/XdlUKewAJh",2021-05-13 17:31:05,Bogotá,Bogotá,1392895183981842433,https://twitter.com/i/web/status/1392895183981842433
Conozca los detalles de la etapa 7 del Giro de Italia  https://t.co/YztmSQcyh4,2021-05-13 17:24:07,Bogotá,"Bogotá, Colombia",1392893433136750593,https://twitter.com/i/web/status/1392893433136750593
"Yo, que dije que me iba a contener, hoy ya me ilusioné con Bernal. 

En esta cuenta no se habla más de Duque, el paro ni el COVID. Solo del #PrayForLaEspaldaDeBernal

https://t.co/naOlYDDERH",2021-05-13 17:15:44,Bogotá,Bogotá,1392891320805597187,https://twitter.com/i/web/status/1392891320805597187
Egan Bernal y el Ineos probaron inusual pero exitosa estrategia en la etapa 6 del Giro de Italia https://t.co/gYkmjt5KDg,2021-05-13 17:11:06,Bogotá,Bogotá,1392890155443294212,https://twitter.com/i/web/status/1392890155443294212
"Egan Bernal fue segundo en la etapa y se metió al podio. #GiroItalia
General:
1. Attila Valter 22:17:06
2 Remco Evenepoel  a 0:11 
3 Egan Bernal a 0:16 
12 Daniel Martínez a 1:06
26 Hárold Tejada  a 4:13
35 Einer Rubio a 12:52
https://t.co/LMxHuSYYeH a través de @eltiempo",2021-05-13 17:03:40,Bogotá,Bogotá (Colombia),1392888284586594315,https://twitter.com/i/web/status/1392888284586594315
"#Giro | 🇮🇹 Reacciones de Gino Mader luego de obtener el triunfo este jueves en la sexta etapa del Giro de Italia. ""Logré hacer esto gracias a Matej Mohoric que fue muy fuerte"". 🚴‍♂️🇨🇭

#VamosEscarabajos #ElPortalDelCiclismo

https://t.co/rT5jGHDGIt",2021-05-13 17:03:36,Bogotá,"Bogota, Colombia",1392888269747195906,https://twitter.com/i/web/status/1392888269747195906
"Giro de Italia 2021, etapa 7: así será el recorrido de 181 kilómetros https://t.co/0tRDFvRDLW",2021-05-13 16:56:36,Bogotá,"Bogotá, Colombia",1392886507954913284,https://twitter.com/i/web/status/1392886507954913284
Espectacular actuación de Egan Bernal. Fue segundo en séptima etapa y ahora es tercero en Giro de Italia https://t.co/HDWWBc8BCf a través de @wordpressdotcom @Diegonoticia   @DarioAngelR,2021-05-13 16:55:35,Bogotá,Bogotá- Colombia,1392886251364261888,https://twitter.com/i/web/status/1392886251364261888
