id;tweets;date;user_location;img_url;media_type;likes;retweets;texto_limpio;links;hashtags;mentions;emojis;hora;pp;cluster;sentiment
1400239522215038979;Los hombres en serio sufren por el embarazo de Lana Rhoades? 🤣 🤣 🤣 🤣;2021-06-02 23:54:51;Vzla;;;7;0;Los hombres en serio sufren por el embarazo de Lana Rhoades? 🤣 🤣 🤣 🤣;[];[];[];['🤣', '🤣', '🤣', '🤣'];2021-06-02 23:00:00;hombres serio sufren embarazo;1;0,138
1400239458599981057;"Lana Rhoades: *anuncia su embarazo* 

Mi pana con una maestría y un doctorado en comedia: https://t.co/M0WZxPNiuQ";2021-06-02 23:54:36;;http://pbs.twimg.com/media/E26mXbCWYAIARw8.jpg;photo;14;1;"Lana Rhoades: *anuncia su embarazo* 

Mi pana con una maestría y un doctorado en comedia: ";['https://t.co/M0WZxPNiuQ'];[];[];[];2021-06-02 23:00:00;anuncia embarazo pana maestría doctorado comedia;1;0,406
1400238369268023298;Si hace algun chiste pendejo por que Lana Rhoades está embarazada, realmente tienes un onvre ahí.;2021-06-02 23:50:17;Anywhere is possible;;;0;0;Si hace algun chiste pendejo por que Lana Rhoades está embarazada, realmente tienes un onvre ahí.;[];[];[];[];2021-06-02 23:00:00;si hace algun chiste pendejo embarazada realmente onvre ahí;1;0,01
1400237667950940160;No me la lana Rhoades 💔😖😥😩👶 https://t.co/RLkJN3GlKU;2021-06-02 23:47:29;Roldan, Argentina;http://pbs.twimg.com/media/E26kNnNXMAADSAb.jpg;photo;4;0;No me la lana Rhoades 💔😖😥😩👶 ;['https://t.co/RLkJN3GlKU'];[];[];['💔', '😖', '😥', '😩', '👶'];2021-06-02 23:00:00;;1;0,053
1400237136675164160;@_paachoo_ bro pero yo pensaba que Lana Rhoades ere virgen .-.;2021-06-02 23:45:23;;;;0;0; bro pero yo pensaba que Lana Rhoades ere virgen .-.;[];[];['@_paachoo_'];[];2021-06-02 23:00:00;bro pensaba ere virgen;1;0,136
1400233959255166976;chingada madre,que rico debe estar ser el hijo de lana rhoades .____.;2021-06-02 23:32:45;;;;1;0;chingada madre,que rico debe estar ser el hijo de lana rhoades .____.;[];[];[];[];2021-06-02 23:00:00;chingada madre rico debe ser hijo;1;0,032
1400233298174038016;"realmente hay gente emputada xq lana rhoades está embarazada????
claro pq las trabajadoras sexuales no son seres humanos sino simples objetos de consumo";2021-06-02 23:30:08;;;;4;0;"realmente hay gente emputada xq lana rhoades está embarazada????
claro pq las trabajadoras sexuales no son seres humanos sino simples objetos de consumo";[];[];[];[];2021-06-02 23:00:00;realmente gente emputada xq embarazada claro pq trabajadoras sexuales seres humanos sino simples objetos consumo;1;0,005
1400233100785954816;"Nadie.
Yo de la nada: ¿Y si muero y reencarno en el hijo de Lana Rhoades??";2021-06-02 23:29:20;;;;1;0;"Nadie.
Yo de la nada: ¿Y si muero y reencarno en el hijo de Lana Rhoades??";[];[];[];[];2021-06-02 23:00:00;nadie si muero reencarno hijo;1;0,002
1400232743779422212;"Lana rhoades embarazada* 

Todos mis amigos en el grupo: Voy a ser papa JAJAJAJA";2021-06-02 23:27:55;;;;1;0;"Lana rhoades embarazada* 

Todos mis amigos en el grupo: Voy a ser papa JAJAJAJA";[];[];[];[];2021-06-02 23:00:00;embarazada amigos grupo voy ser papa jajajaja;1;0,026
1400232698887782400;"A riesgo de parecer un loco sentimental, os confieso que esta noche me estoy haciendo una maratón de videos de Lana Rhoades

Nada será lo mismo";2021-06-02 23:27:45;;;;0;0;"A riesgo de parecer un loco sentimental, os confieso que esta noche me estoy haciendo una maratón de videos de Lana Rhoades

Nada será lo mismo";[];[];[];[];2021-06-02 23:00:00;riesgo parecer loco sentimental confieso noche haciendo maratón videos mismo;1;0,0
1400232011495665665;Justo cuando creí que los hombres no podían ser más imbeciles con la hija de Keiko comienzan con lo de Lana Rhoades...;2021-06-02 23:25:01;;;;0;0;Justo cuando creí que los hombres no podían ser más imbeciles con la hija de Keiko comienzan con lo de Lana Rhoades...;[];[];[];[];2021-06-02 23:00:00;justo creí hombres podían ser imbeciles hija keiko comienzan;1;0,0
1400230451080531971;Lana Rhoades está embarazada 😭😭😭😭 https://t.co/XMkOFiWK4D;2021-06-02 23:18:49;;http://pbs.twimg.com/tweet_video_thumb/E26eKc-WUAEF8Xl.jpg;photo;1;0;Lana Rhoades está embarazada 😭😭😭😭 ;['https://t.co/XMkOFiWK4D'];[];[];['😭', '😭', '😭', '😭'];2021-06-02 23:00:00;embarazada;0;0,662
1400229524713865216;los hombres de luto por qué Lana Rhoades está embarazada como sí hubieran tenido oportunidad en algún momento;2021-06-02 23:15:08;;;;16;0;los hombres de luto por qué Lana Rhoades está embarazada como sí hubieran tenido oportunidad en algún momento;[];[];[];[];2021-06-02 23:00:00;hombres luto embarazada oportunidad algún momento;1;0,002
1400226624071680000;"Estoy trizte😣😥
Mi estrella mi todo mi felicidad, lana rhoades me la preñaron loco🙄";2021-06-02 23:03:36;Panamá;;;2;0;"Estoy trizte😣😥
Mi estrella mi todo mi felicidad, lana rhoades me la preñaron loco🙄";[];[];[];['😣', '😥', '🙄'];2021-06-02 23:00:00;trizte estrella felicidad preñaron loco;1;0,02
1400226445809553409;Lana Rhoades pal equipo de las milfs ahora 😂;2021-06-02 23:02:54;Panamá;;;0;0;Lana Rhoades pal equipo de las milfs ahora 😂;[];[];[];['😂'];2021-06-02 23:00:00;pal equipo milfs ahora;1;0,322
1400226313080868872;"No Raul el hijo de Lana Rhoades no es tuyo ni de otros actores porno, el tamaño de su v*gina no cambia por sus pitos y su hijo/a estará orgulloso de tremenda madre que tiene y que de seguro en su momento le enseñara lo fuerte y asquerosa que es la industria porno.
#LanaRhoads";2021-06-02 23:02:22;;;;0;0;"No Raul el hijo de Lana Rhoades no es tuyo ni de otros actores porno, el tamaño de su v*gina no cambia por sus pitos y su hijo/a estará orgulloso de tremenda madre que tiene y que de seguro en su momento le enseñara lo fuerte y asquerosa que es la industria porno.
";[];['#LanaRhoads'];[];[];2021-06-02 23:00:00;raul hijo actores porno tamaño v gina cambia pitos hijo orgulloso tremenda madre seguro momento enseñara fuerte asquerosa industria porno;1;0,0
1400225758522621960;Lo que me faltaba, soñar con lana rhoades jajajajjaa UFFF🤤🤭😈;2021-06-02 23:00:10;Barranquilla, Colombia;;;11;0;Lo que me faltaba, soñar con lana rhoades jajajajjaa UFFF🤤🤭😈;[];[];[];['🤤', '🤭', '😈'];2021-06-02 23:00:00;faltaba soñar jajajajjaa ufff;1;0,011
1400224397403774977;con solo tener los ojos de lana rhoades me conformo;2021-06-02 22:54:45;Buenos Aires, Argentina;;;2;0;con solo tener los ojos de lana rhoades me conformo;[];[];[];[];2021-06-02 22:00:00;solo tener ojos conformo;1;0,054
1400221740081496070;Me dan cringe todos los que comparten la foto del embarazo de Lana Rhoades y ponen “voy a ser papá”;2021-06-02 22:44:12;Monterrey, Nuevo León;;;0;0;Me dan cringe todos los que comparten la foto del embarazo de Lana Rhoades y ponen “voy a ser papá”;[];[];[];[];2021-06-02 22:00:00;dan cringe comparten foto embarazo ponen voy ser papá;1;0,001
1400221626134929411;La primer foto del hijo de Lana Rhoades boe https://t.co/SwPbXqPJur;2021-06-02 22:43:45;Montevideo, Uruguay;http://pbs.twimg.com/media/E26WJcfWEAEKBBW.jpg;photo;0;0;La primer foto del hijo de Lana Rhoades boe ;['https://t.co/SwPbXqPJur'];[];[];[];2021-06-02 22:00:00;primer foto hijo boe;1;0,043
